2025-02-09 00:01:26.141520 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.144651 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:26.176289 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.176289 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.184537 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:26.184877 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.184877 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.184877 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.185754 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.192827 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 76
2025-02-09 00:01:26.193099 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.193099 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.193099 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.197344 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.197748 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 74
2025-02-09 00:01:26.206599 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.208732 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:26.248511 | 192.168.1.5 -> 142.250.194.22 | TLS | Length: 55
2025-02-09 00:01:26.320830 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.324013 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:26.337012 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.337012 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.337012 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.339311 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:26.374707 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.374707 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.380067 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.380067 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.380387 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 74
2025-02-09 00:01:26.389179 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 80
2025-02-09 00:01:26.389513 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.389513 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.389513 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.389513 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.389513 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.389513 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.396280 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:26.431662 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.431662 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.431662 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.431662 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.436614 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.436614 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.436917 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 74
2025-02-09 00:01:26.439049 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:26.439282 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.444536 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.444536 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.444536 | 142.250.194.22 -> 192.168.1.5 | TCP | Length: 66
2025-02-09 00:01:26.444969 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 74
2025-02-09 00:01:26.447301 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:26.451564 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.455892 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:26.716247 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.719463 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:26.771035 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.775007 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:26.775229 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 74
2025-02-09 00:01:26.950459 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.030619 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.080515 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.080515 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.080515 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.086561 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:27.135837 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.137870 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:27.150871 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 67
2025-02-09 00:01:27.155560 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.155560 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.161556 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.161556 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.161556 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.161621 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:27.169963 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:27.211166 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.217849 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.217849 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.217849 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.218215 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 74
2025-02-09 00:01:27.220408 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:27.220616 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.221598 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.222038 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 74
2025-02-09 00:01:27.284000 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.306919 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.306919 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.306919 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.306919 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.313650 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:27.313925 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.313925 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.313925 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.313925 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.319945 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.320329 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 74
2025-02-09 00:01:27.325384 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.325384 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:27.329891 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
